"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Jerry Hairston","- - -","23.3 %","61.7 %","44.1 %","72.0 %","93.4 %","88.3 %","54.3 %","47.6 %","5.2 %","880",".112",".280","7.5 %","11.6 %","-69.1","3898","144"
"Kaz Matsui","- - -","24.0 %","65.5 %","45.6 %","67.4 %","88.4 %","83.1 %","51.9 %","56.6 %","7.7 %","615",".113",".310","7.0 %","15.8 %","-57.0","2555","1854"
"Ron Coomer","- - -","22.7 %","77.1 %","52.7 %","58.6 %","83.4 %","78.6 %","55.2 %","14.4 %","11.2 %","307",".134",".280","6.4 %","12.8 %","-33.1","1268","816"
"Marlon Anderson","- - -","23.0 %","66.5 %","46.2 %","58.9 %","88.9 %","81.9 %","53.5 %","45.6 %","8.3 %","721",".128",".292","6.8 %","13.6 %","-58.7","2979","947"
"David Newhan","- - -","23.6 %","72.1 %","49.1 %","46.3 %","88.7 %","79.0 %","52.6 %","55.1 %","10.3 %","243",".126",".303","7.5 %","18.9 %","-21.3","1051","2009"
"Vinny Castilla","- - -","26.9 %","78.6 %","54.3 %","46.5 %","84.9 %","76.0 %","53.1 %","47.3 %","12.9 %","835",".168",".268","5.6 %","15.3 %","-91.0","3579","84"
"Johnny Estrada","- - -","34.9 %","79.6 %","59.3 %","68.7 %","91.8 %","85.6 %","54.5 %","55.7 %","8.4 %","576",".123",".291","4.6 %","10.2 %","-53.2","2244","955"
"Alex Cintron","- - -","30.0 %","73.0 %","53.2 %","73.0 %","91.4 %","86.6 %","54.0 %","61.7 %","7.1 %","565",".119",".294","5.1 %","10.4 %","-63.1","2217","50"
"Brandon Inge","Tigers","22.6 %","64.4 %","43.4 %","54.4 %","82.9 %","75.5 %","49.9 %","56.7 %","10.6 %","1028",".157",".285","8.1 %","22.8 %","-95.1","4873","470"
"Chris Gomez","- - -","17.8 %","64.7 %","43.7 %","67.8 %","94.3 %","89.5 %","55.2 %","48.8 %","4.6 %","574",".098",".297","6.0 %","10.4 %","-48.5","2291","1208"
"Willie Harris","- - -","16.1 %","59.3 %","38.5 %","63.5 %","88.5 %","83.4 %","51.8 %","57.2 %","6.4 %","516",".113",".281","10.7 %","17.3 %","-58.0","2485","236"
"Tike Redman","- - -","20.9 %","66.1 %","45.4 %","77.6 %","92.9 %","89.7 %","54.2 %","53.3 %","4.7 %","385",".105",".303","4.5 %","10.1 %","-35.0","1461","1003"
"Cristian Guzman","- - -","25.2 %","64.9 %","46.2 %","66.5 %","92.3 %","85.6 %","52.8 %","47.1 %","6.7 %","1364",".117",".308","4.6 %","13.0 %","-126.2","5329","728"
"Mike Redmond","- - -","24.3 %","67.9 %","47.6 %","72.1 %","93.9 %","88.8 %","53.5 %","46.7 %","5.3 %","537",".071",".309","5.4 %","9.8 %","-43.8","2096","538"
"Michael Bourn","- - -","21.5 %","60.5 %","40.6 %","60.5 %","87.2 %","80.0 %","49.0 %","58.8 %","8.1 %","456",".085",".331","8.9 %","19.8 %","-39.8","1941","6387"
"Shane Halter","- - -","20.5 %","73.1 %","47.9 %","44.0 %","83.4 %","75.3 %","52.1 %","32.3 %","11.9 %","389",".148",".290","7.1 %","20.0 %","-33.1","1744","468"
"Alex Gonzalez","- - -","22.0 %","68.9 %","47.0 %","44.4 %","84.0 %","75.4 %","53.3 %","35.5 %","11.5 %","705",".154",".288","6.9 %","21.0 %","-81.5","3188","281"
"Elvis Andrus","Rangers","20.4 %","54.4 %","37.8 %","70.0 %","93.7 %","87.5 %","51.2 %","58.2 %","4.7 %","284",".067",".312","8.6 %","14.2 %","-32.9","1215","8709"
"Yadier Molina","Cardinals","25.8 %","72.8 %","50.6 %","73.8 %","91.6 %","87.3 %","52.8 %","60.8 %","6.4 %","718",".093",".281","7.4 %","8.5 %","-62.8","2979","7007"
"Clint Barmes","Rockies","32.6 %","66.5 %","50.6 %","67.6 %","89.3 %","82.8 %","53.2 %","62.5 %","8.6 %","582",".150",".281","5.0 %","15.8 %","-92.9","2509","1830"
"Chris Singleton","- - -","25.5 %","71.6 %","50.4 %","57.7 %","86.9 %","80.1 %","54.0 %","29.5 %","10.0 %","460",".127",".303","5.7 %","15.6 %","-48.9","1909","170"
"Miguel Olivo","- - -","36.1 %","72.6 %","54.2 %","43.7 %","80.8 %","68.3 %","49.6 %","64.3 %","17.1 %","708",".181",".302","4.1 %","26.2 %","-79.9","3058","1638"
"Erick Aybar","Angels","34.3 %","62.6 %","48.3 %","77.2 %","93.4 %","87.6 %","49.4 %","63.4 %","6.0 %","444",".091",".308","5.0 %","12.4 %","-34.9","1771","4082"
"Desi Relaford","- - -","18.7 %","67.6 %","44.4 %","65.5 %","90.0 %","85.1 %","52.4 %","38.5 %","6.6 %","528",".109",".277","9.4 %","14.6 %","-69.5","2471","1096"
"Luis Matos","- - -","24.2 %","64.7 %","45.8 %","57.8 %","89.9 %","81.9 %","53.3 %","51.0 %","8.3 %","410",".120",".295","6.1 %","16.8 %","-41.1","1773","152"
"Ruben Rivera","- - -","28.6 %","75.8 %","51.3 %","39.4 %","78.8 %","67.4 %","48.2 %","15.5 %","17.0 %","197",".168",".279","8.6 %","27.6 %","-28.6","1010","1550"
"Brian Schneider","- - -","24.4 %","70.6 %","47.4 %","58.7 %","87.8 %","80.3 %","49.7 %","52.3 %","9.2 %","739",".124",".277","9.5 %","14.3 %","-86.9","3333","795"
"Denny Hocking","- - -","14.8 %","62.6 %","40.9 %","50.0 %","90.5 %","83.9 %","54.7 %","27.4 %","6.7 %","338",".091",".311","9.0 %","17.3 %","-44.9","1476","730"
"Jose Lopez","Mariners","31.3 %","68.0 %","50.3 %","73.9 %","92.0 %","86.6 %","51.8 %","60.4 %","6.8 %","897",".134",".280","3.7 %","11.2 %","-69.6","3599","3114"
"Laynce Nix","- - -","31.7 %","70.6 %","50.8 %","51.7 %","85.0 %","74.5 %","49.1 %","60.2 %","12.8 %","328",".182",".296","5.5 %","25.3 %","-43.2","1449","1766"
"Ramon Vazquez","- - -","18.9 %","62.5 %","41.5 %","59.5 %","88.9 %","82.4 %","51.7 %","56.5 %","7.3 %","496",".095",".309","9.7 %","18.6 %","-50.4","2227","1058"
"Geoff Blum","- - -","23.8 %","70.2 %","47.5 %","57.6 %","89.9 %","81.9 %","51.1 %","44.4 %","8.5 %","943",".130",".277","7.4 %","15.1 %","-109.7","4153","550"
"Damian Jackson","- - -","17.1 %","62.9 %","41.7 %","52.1 %","87.4 %","80.7 %","53.9 %","29.0 %","8.1 %","427",".107",".305","9.2 %","20.2 %","-44.9","1964","471"
"Timo Perez","- - -","22.3 %","67.9 %","47.9 %","73.7 %","93.6 %","89.5 %","56.2 %","51.2 %","5.1 %","449",".113",".282","5.0 %","8.7 %","-46.7","1825","891"
"Eric Owens","- - -","20.0 %","68.7 %","47.9 %","67.0 %","94.2 %","89.4 %","57.4 %","23.0 %","5.2 %","441",".081",".299","6.6 %","10.2 %","-43.4","1753","534"
"Jason Phillips","- - -","23.9 %","74.2 %","50.5 %","55.4 %","90.3 %","82.5 %","53.0 %","58.1 %","8.8 %","344",".121",".263","7.2 %","11.1 %","-39.7","1537","892"
"Deivi Cruz","- - -","27.3 %","72.0 %","53.1 %","59.4 %","89.8 %","83.2 %","57.8 %","40.1 %","8.9 %","739",".126",".284","3.2 %","9.1 %","-71.2","2878","1025"
"Corey Patterson","- - -","32.3 %","74.2 %","54.4 %","53.0 %","84.0 %","75.3 %","52.8 %","60.4 %","13.4 %","962",".151",".298","4.6 %","20.9 %","-116.6","4102","300"
"Pedro Feliz","- - -","28.7 %","70.0 %","50.2 %","61.0 %","88.6 %","81.1 %","52.1 %","60.0 %","9.5 %","1065",".160",".265","5.1 %","14.6 %","-126.4","4544","1112"
"Yuniesky Betancourt","- - -","31.3 %","68.2 %","50.4 %","74.2 %","94.1 %","88.1 %","51.6 %","60.3 %","6.0 %","785",".121",".285","3.4 %","9.0 %","-71.2","3057","8585"
"Ramon Martinez","- - -","15.0 %","62.7 %","41.0 %","59.8 %","92.7 %","87.2 %","54.5 %","39.7 %","5.2 %","468",".102",".287","7.5 %","12.3 %","-56.2","2017","1120"
"Bobby Crosby","- - -","22.1 %","64.0 %","43.3 %","55.2 %","85.0 %","77.4 %","50.5 %","56.0 %","9.7 %","605",".136",".272","8.5 %","18.1 %","-71.4","2846","1818"
"Warren Morris","- - -","19.7 %","69.9 %","46.2 %","51.3 %","94.7 %","86.0 %","52.8 %","19.4 %","6.5 %","252",".092",".284","8.3 %","11.8 %","-37.2","1099","1424"
"Miguel Cairo","- - -","22.4 %","67.3 %","47.1 %","64.7 %","93.6 %","87.4 %","54.9 %","48.6 %","5.9 %","663",".097",".289","6.0 %","11.4 %","-82.2","2832","1412"
"Chris Burke","- - -","20.1 %","70.6 %","47.5 %","51.0 %","88.0 %","80.8 %","54.3 %","60.0 %","9.0 %","303",".120",".277","7.8 %","16.8 %","-44.0","1443","2164"
"Dave Berg","- - -","17.9 %","69.6 %","46.2 %","61.0 %","89.4 %","84.4 %","54.7 %","35.0 %","7.2 %","286",".108",".297","6.5 %","16.5 %","-37.9","1230","1288"
"Quinton McCracken","- - -","17.9 %","65.3 %","43.9 %","56.9 %","87.5 %","81.9 %","54.9 %","51.7 %","7.9 %","282",".096",".305","8.1 %","15.4 %","-43.7","1234","1377"
"Rod Barajas","- - -","31.6 %","70.6 %","52.3 %","62.5 %","88.1 %","80.8 %","53.1 %","58.6 %","9.9 %","672",".173",".251","5.1 %","16.2 %","-98.9","3068","45"
"Luis Rivas","- - -","25.8 %","67.0 %","47.0 %","62.1 %","91.6 %","83.7 %","51.5 %","41.5 %","7.7 %","541",".120",".287","5.5 %","13.8 %","-67.2","2290","753"
"Alex Gonzalez","- - -","34.7 %","69.0 %","52.5 %","61.2 %","87.2 %","78.9 %","51.8 %","49.5 %","11.0 %","1068",".154",".278","5.1 %","18.1 %","-139.7","4727","520"
"Jack Wilson","- - -","24.9 %","66.4 %","47.6 %","73.0 %","92.2 %","87.7 %","54.8 %","55.5 %","5.9 %","1230",".105",".291","5.1 %","11.3 %","-149.6","5030","1017"
"Aaron Miles","- - -","25.4 %","64.0 %","46.5 %","74.4 %","95.9 %","90.6 %","54.7 %","60.8 %","4.4 %","668",".072",".306","5.3 %","9.5 %","-90.1","2574","1844"
"Endy Chavez","- - -","23.5 %","59.4 %","42.8 %","74.8 %","91.1 %","87.0 %","53.7 %","58.7 %","5.6 %","605",".097",".294","5.7 %","9.8 %","-78.9","2456","768"
"Royce Clayton","- - -","24.0 %","70.7 %","49.2 %","54.1 %","86.2 %","79.0 %","54.0 %","45.5 %","10.3 %","900",".109",".302","7.0 %","17.6 %","-142.8","3920","226"
"Vance Wilson","- - -","27.5 %","70.4 %","50.9 %","57.1 %","88.6 %","80.9 %","54.6 %","58.0 %","9.7 %","238",".127",".285","4.4 %","17.9 %","-28.7","1054","903"
"Jolbert Cabrera","- - -","28.1 %","71.4 %","50.7 %","49.6 %","88.2 %","78.0 %","52.2 %","40.8 %","11.1 %","355",".110",".298","4.8 %","15.6 %","-42.8","1490","373"
"Brook Fordyce","- - -","20.7 %","69.8 %","47.8 %","56.6 %","89.4 %","83.1 %","55.4 %","32.1 %","8.1 %","308",".124",".280","5.6 %","15.2 %","-38.4","1335","138"
"Tom Goodwin","- - -","14.1 %","61.5 %","39.5 %","48.7 %","88.7 %","82.1 %","53.6 %","19.6 %","7.1 %","315",".088",".308","8.9 %","18.4 %","-56.3","1387","1114"
"Eric Munson","- - -","24.0 %","70.8 %","47.0 %","57.1 %","83.6 %","76.7 %","49.2 %","54.2 %","10.9 %","226",".180",".225","8.8 %","19.7 %","-33.9","1186","481"
"Angel Berroa","- - -","34.9 %","71.2 %","54.4 %","61.2 %","87.7 %","79.8 %","53.7 %","62.6 %","10.9 %","665",".116",".297","4.2 %","16.4 %","-96.5","2807","591"
"Carlos Febles","Royals","13.5 %","64.5 %","42.7 %","52.2 %","89.1 %","84.1 %","57.3 %","28.2 %","6.9 %","288",".083",".283","8.4 %","14.9 %","-55.0","1339","598"
"Craig Paquette","- - -","29.4 %","82.2 %","58.6 %","40.8 %","78.6 %","70.1 %","55.3 %","16.8 %","17.5 %","244",".162",".270","5.1 %","19.1 %","-36.3","1089","484"
"Brent Mayne","- - -","18.8 %","68.0 %","44.4 %","56.1 %","89.6 %","82.8 %","52.0 %","32.1 %","7.6 %","404",".082",".294","9.4 %","13.8 %","-82.0","1762","614"
"Ben Davis","- - -","22.1 %","76.3 %","50.8 %","36.5 %","80.9 %","71.8 %","52.9 %","32.0 %","14.3 %","293",".132",".284","9.1 %","22.4 %","-37.8","1404","1074"
"Jeremy Reed","- - -","24.1 %","69.6 %","47.5 %","69.6 %","90.4 %","85.2 %","51.4 %","58.6 %","7.0 %","315",".102",".290","7.3 %","14.2 %","-35.1","1369","4730"
"Ramon Santiago","- - -","24.9 %","67.3 %","47.0 %","67.6 %","92.3 %","86.0 %","52.1 %","61.0 %","6.6 %","388",".087",".287","6.7 %","15.2 %","-51.7","1793","1417"
"Dioner Navarro","- - -","23.9 %","66.6 %","45.9 %","64.9 %","93.0 %","85.9 %","51.5 %","56.8 %","6.4 %","439",".108",".273","7.5 %","13.2 %","-56.4","1964","3179"
"Sandy Alomar Jr.","- - -","28.2 %","74.6 %","54.0 %","64.7 %","90.7 %","84.7 %","55.6 %","36.1 %","8.3 %","391",".107",".282","3.8 %","9.6 %","-60.2","1559","221"
"Jose Vizcaino","- - -","24.1 %","74.5 %","52.6 %","67.1 %","91.9 %","86.9 %","56.5 %","44.5 %","6.8 %","485",".086",".300","6.1 %","11.7 %","-74.4","1971","577"
"Kelly Stinnett","- - -","24.7 %","71.7 %","47.8 %","47.3 %","80.5 %","71.8 %","49.2 %","32.6 %","13.3 %","247",".139",".289","7.7 %","25.0 %","-47.3","1189","356"
"Brendan Ryan","Cardinals","27.6 %","63.2 %","45.4 %","67.5 %","90.3 %","83.4 %","50.1 %","57.4 %","7.5 %","312",".085",".292","6.6 %","12.5 %","-37.6","1332","6073"
"Willie Bloomquist","- - -","24.4 %","68.1 %","47.9 %","65.3 %","90.4 %","84.5 %","53.7 %","62.1 %","7.4 %","495",".072",".313","6.8 %","16.1 %","-61.5","2056","1066"
"Jose Macias","- - -","28.6 %","73.0 %","53.2 %","61.4 %","86.9 %","80.8 %","55.5 %","37.5 %","10.2 %","421",".113",".286","5.2 %","13.6 %","-60.5","1785","476"
"Tony Womack","- - -","19.3 %","61.9 %","43.4 %","62.7 %","93.4 %","87.4 %","56.5 %","37.2 %","5.6 %","804",".081",".299","5.1 %","11.5 %","-129.6","3230","78"
"Gerald Williams","- - -","30.4 %","66.7 %","51.0 %","61.3 %","83.3 %","77.6 %","56.7 %","12.6 %","11.5 %","270",".140",".269","5.4 %","16.5 %","-49.0","1212","1395"
"Gerald Laird","- - -","24.9 %","65.4 %","45.4 %","64.1 %","86.9 %","80.7 %","50.6 %","59.4 %","8.7 %","461",".116",".286","6.7 %","18.7 %","-79.3","2125","1698"
"Chris Woodward","- - -","21.8 %","66.7 %","45.7 %","57.2 %","86.2 %","79.7 %","53.2 %","54.3 %","9.3 %","402",".128",".291","7.3 %","21.0 %","-68.8","1857","1329"
"Jose Castillo","- - -","29.9 %","74.7 %","53.5 %","56.7 %","84.5 %","77.1 %","52.6 %","64.3 %","12.1 %","487",".125",".296","5.4 %","18.4 %","-74.6","2059","1866"
"Willy Taveras","- - -","22.0 %","62.9 %","44.7 %","72.9 %","91.8 %","87.7 %","55.6 %","62.7 %","5.5 %","662",".053",".323","5.1 %","14.8 %","-105.5","2644","1876"
"Nick Green","- - -","28.1 %","70.6 %","50.8 %","53.5 %","81.5 %","74.3 %","53.5 %","62.7 %","13.0 %","237",".111",".304","6.8 %","23.5 %","-39.8","1131","1502"
"Nick Punto","- - -","19.9 %","60.2 %","41.0 %","76.8 %","91.3 %","88.0 %","52.4 %","59.2 %","4.9 %","610",".075",".297","9.9 %","16.5 %","-91.7","2818","1429"
"Toby Hall","- - -","30.7 %","75.7 %","55.9 %","75.4 %","92.3 %","88.2 %","56.0 %","58.5 %","6.5 %","616",".112",".269","4.1 %","8.6 %","-83.3","2514","1210"
"Alex Cora","- - -","22.6 %","60.4 %","43.4 %","76.7 %","94.4 %","90.3 %","55.0 %","45.5 %","4.2 %","784",".098",".269","6.5 %","10.8 %","-117.2","3584","1386"
"Alfredo Amezaga","- - -","24.4 %","63.7 %","45.3 %","66.9 %","90.9 %","84.9 %","53.3 %","58.6 %","6.8 %","335",".090",".289","7.1 %","14.1 %","-55.6","1485","1"
"Josh Barfield","- - -","32.6 %","73.3 %","54.3 %","54.9 %","89.1 %","79.6 %","53.4 %","66.8 %","11.0 %","267",".112",".307","4.1 %","17.5 %","-34.0","1075","3622"
"Dan Wilson","Mariners","19.0 %","71.2 %","48.7 %","51.8 %","87.4 %","81.4 %","56.8 %","39.0 %","9.0 %","430",".099",".301","5.5 %","17.5 %","-58.3","1829","1102"
"Brad Ausmus","- - -","18.7 %","67.0 %","44.6 %","56.9 %","91.6 %","84.8 %","53.7 %","45.9 %","6.7 %","927",".081",".280","9.0 %","14.1 %","-172.2","4296","546"
"Joey Gathright","- - -","21.7 %","69.5 %","47.7 %","65.9 %","89.1 %","84.3 %","54.5 %","63.0 %","7.5 %","309",".040",".318","7.2 %","16.0 %","-49.6","1328","3913"
"Tony Gwynn","- - -","18.1 %","56.6 %","37.8 %","65.3 %","94.0 %","87.3 %","51.1 %","55.2 %","4.8 %","225",".070",".288","10.2 %","15.3 %","-29.6","1054","6141"
"Andy LaRoche","- - -","25.5 %","63.5 %","43.8 %","65.2 %","87.1 %","80.4 %","48.0 %","58.4 %","8.5 %","244",".113",".252","9.2 %","15.3 %","-42.0","1228","6444"
"Pokey Reese","- - -","16.4 %","64.9 %","43.0 %","47.3 %","84.2 %","77.8 %","54.8 %","25.3 %","9.5 %","416",".105",".283","7.6 %","17.8 %","-87.1","1914","1004"
"Augie Ojeda","- - -","21.7 %","64.2 %","43.0 %","72.9 %","93.7 %","88.4 %","50.1 %","43.6 %","4.9 %","249",".078",".254","9.6 %","9.3 %","-54.5","1238","297"
"Alexi Casilla","Twins","26.6 %","56.3 %","41.9 %","78.5 %","92.6 %","88.3 %","51.4 %","60.5 %","4.9 %","239",".077",".278","7.2 %","11.9 %","-39.5","1073","5248"
"Carlos Gomez","- - -","35.0 %","67.1 %","50.8 %","59.4 %","86.6 %","77.2 %","49.4 %","65.4 %","11.6 %","322",".102",".310","5.1 %","22.0 %","-52.7","1420","4881"
"Jason Tyner","- - -","23.3 %","61.1 %","44.3 %","73.8 %","95.6 %","90.5 %","55.5 %","36.6 %","4.2 %","373",".049",".303","4.6 %","9.3 %","-58.0","1467","1232"
"John Flaherty","- - -","24.3 %","73.4 %","51.5 %","46.9 %","87.4 %","78.9 %","55.6 %","34.0 %","10.8 %","316",".129",".272","4.4 %","15.3 %","-58.3","1375","1206"
"Abraham Nunez","- - -","21.4 %","70.8 %","47.5 %","61.8 %","89.5 %","83.6 %","52.9 %","49.4 %","7.7 %","525",".075",".289","8.7 %","15.4 %","-105.2","2391","1420"
"Einar Diaz","- - -","24.2 %","64.6 %","46.7 %","64.1 %","94.4 %","87.5 %","55.7 %","34.4 %","5.9 %","401",".094",".265","4.0 %","8.7 %","-76.7","1766","378"
"Neifi Perez","- - -","23.2 %","72.9 %","51.8 %","73.7 %","93.4 %","89.7 %","57.4 %","40.5 %","5.4 %","902",".101",".279","3.9 %","8.9 %","-201.2","3676","620"
"Adam Everett","- - -","26.2 %","64.7 %","46.9 %","59.8 %","90.5 %","82.6 %","53.8 %","62.3 %","8.2 %","655",".105",".275","5.6 %","14.7 %","-131.8","3003","1430"
"Doug Glanville","- - -","23.9 %","67.9 %","48.7 %","57.8 %","88.0 %","81.5 %","56.4 %","24.6 %","8.9 %","545",".097",".281","4.0 %","12.1 %","-104.8","2256","956"
"Matt Treanor","- - -","22.7 %","62.6 %","43.5 %","56.5 %","87.0 %","79.4 %","51.9 %","61.3 %","8.9 %","221",".083",".272","8.9 %","18.2 %","-48.2","1118","2265"
"Mike Matheny","- - -","25.2 %","72.7 %","51.0 %","54.0 %","86.5 %","79.2 %","54.5 %","43.6 %","10.4 %","619",".107",".285","7.0 %","17.9 %","-127.1","2830","1169"
"Henry Blanco","- - -","25.2 %","68.2 %","47.4 %","60.3 %","87.4 %","80.4 %","51.6 %","43.5 %","9.2 %","496",".134",".255","7.8 %","17.6 %","-112.8","2450","81"
"Ronny Cedeno","- - -","34.2 %","68.0 %","51.8 %","67.2 %","88.1 %","81.5 %","52.1 %","61.0 %","9.5 %","419",".112",".293","4.6 %","19.6 %","-86.4","1855","2179"
"Chad Moeller","- - -","26.8 %","72.5 %","49.7 %","52.4 %","82.0 %","74.0 %","50.0 %","51.3 %","12.8 %","315",".126",".275","7.0 %","21.5 %","-77.7","1539","66"
"Rey Sanchez","- - -","20.6 %","75.0 %","51.7 %","61.2 %","94.2 %","88.6 %","57.2 %","30.3 %","5.9 %","562",".055",".295","4.0 %","9.1 %","-114.6","2244","213"
"Andy Fox","- - -","19.3 %","68.4 %","45.8 %","41.3 %","86.1 %","77.4 %","53.8 %","36.0 %","10.3 %","208",".087",".277","8.9 %","20.2 %","-48.0","1051","1379"
"Gary Bennett","- - -","21.0 %","68.8 %","46.5 %","61.4 %","91.1 %","84.8 %","53.4 %","49.7 %","7.0 %","371",".089",".269","7.4 %","14.3 %","-86.6","1726","420"
"Peter Bergeron","Expos","25.2 %","58.0 %","40.0 %","62.7 %","79.7 %","73.8 %","45.0 %","9.2 %","10.5 %","238",".084",".286","9.2 %","20.6 %","-68.2","1201","763"
"Tomas Perez","- - -","29.8 %","72.4 %","52.8 %","60.2 %","86.4 %","79.6 %","54.0 %","46.6 %","10.7 %","332",".113",".283","5.8 %","17.6 %","-73.1","1491","965"
"Joe McEwing","- - -","24.2 %","66.1 %","47.0 %","55.4 %","87.7 %","80.1 %","54.5 %","36.3 %","9.3 %","298",".097",".292","5.2 %","19.2 %","-63.5","1366","887"
"Cesar Izturis","- - -","24.1 %","65.2 %","46.9 %","76.8 %","94.8 %","90.7 %","55.5 %","59.6 %","4.4 %","1030",".067",".279","4.9 %","9.1 %","-202.3","4331","656"
"Jose Molina","- - -","32.8 %","73.9 %","54.6 %","59.6 %","82.6 %","76.1 %","53.1 %","65.7 %","13.0 %","377",".101",".285","4.6 %","20.0 %","-83.9","1749","25"
"Paul Bako","- - -","24.9 %","68.3 %","46.9 %","41.2 %","85.2 %","73.7 %","50.8 %","47.6 %","12.3 %","370",".087",".288","9.7 %","23.8 %","-105.6","1891","676"
"Enrique Wilson","- - -","16.1 %","69.2 %","45.4 %","72.2 %","91.1 %","88.1 %","55.2 %","31.4 %","5.5 %","222",".110",".242","5.7 %","11.2 %","-59.1","1057","858"
"Juan Castro","- - -","26.2 %","70.3 %","50.7 %","63.9 %","88.2 %","82.6 %","55.6 %","50.9 %","8.8 %","516",".105",".270","4.9 %","16.2 %","-134.1","2352","315"
"John McDonald","- - -","26.1 %","65.0 %","47.7 %","66.4 %","92.0 %","85.8 %","55.6 %","65.9 %","6.8 %","439",".090",".270","4.0 %","14.1 %","-107.9","2004","395"
"Rey Ordonez","- - -","22.5 %","70.7 %","51.0 %","59.3 %","91.2 %","85.5 %","59.3 %","31.4 %","7.4 %","303",".084",".268","5.9 %","9.7 %","-72.4","1350","889"
"Jeff Mathis","Angels","29.7 %","67.3 %","48.2 %","46.4 %","81.8 %","70.7 %","49.2 %","62.7 %","13.9 %","190",".112",".254","7.4 %","26.5 %","-64.2","1079","3448"
